Time_Stamp,Temperature (°C),RPM,Fuel_Efficiency,Vibration_X,Vibration_Y,Vibration_Z,Torque,Power_Output (kW),Fault_Condition,Operational_Mode,Defect_ID,Root_Cause,Troubleshooting_Steps,Severity,Remediation_Actions
2024-12-24 10:00:00,60.30858489559441,3426.8275879445323,20.44547154492103,0.874657204606231,0.0056859708818404,0.5297983046560711,107.87765852330168,23.3676838298906,2,Idle,1,Normal operation,No action required,Normal,No action required
2024-12-24 10:05:00,112.70505496391512,2949.75842446062,23.083946992274225,0.6964606815197845,0.3917786911513076,0.1243361195392133,60.351655060287314,57.94102231569467,3,Cruising,2,Normal operation,No action required,Normal,No action required
2024-12-24 10:10:00,108.67097574095489,1817.9710404410007,20.55532584104797,0.4952760133606226,0.1897135981438288,0.8864172156876151,110.98656425085804,47.73299847579394,2,Cruising,3,Normal operation,No action required,Normal,No action required
2024-12-24 10:15:00,107.11469056948415,2730.660539406921,23.22643108997393,0.9862060047889584,0.983201681353459,0.4681141574902268,77.41679296149624,44.11203926890593,2,Cruising,4,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 10:20:00,118.07581400539276,1854.488676596831,21.1482258336329,0.7108098740493588,0.1011388243642072,0.4810340426818726,100.47588078051264,80.68197181619114,2,Cruising,5,Normal operation,No action required,Normal,No action required
2024-12-24 10:25:00,78.15721027989582,2324.480475757351,16.627448312127513,0.4844822042274694,0.2420134571749461,0.4375037085263263,91.49507715138122,86.98182026009806,0,Cruising,6,Normal operation,No action required,Normal,No action required
2024-12-24 10:30:00,114.08453418154129,1128.4392882204804,26.5618411802434,0.2619740116847627,0.7153176124710332,0.2802947976076763,123.15687677684124,82.441668372058,1,Cruising,7,Normal operation,No action required,Normal,No action required
2024-12-24 10:35:00,108.39993560249856,2424.950037598232,24.15541152523971,0.4321892399102375,0.7611217317070776,0.869901230183293,152.34902635519916,80.37180924572084,1,Idle,8,Normal operation,No action required,Normal,No action required
2024-12-24 10:40:00,84.48565523655486,1662.5004024085229,25.535556716364795,0.1403416190050127,0.3413260699980147,0.1728175751503213,90.76338380556028,27.12889905882203,0,Idle,9,Normal operation,No action required,Normal,No action required
2024-12-24 10:45:00,73.57344256753848,2815.996636198265,28.375971606489927,0.3843563361613882,0.0341355091217997,0.230662592878191,127.34825603968234,31.823300462409797,1,Heavy Load,10,Normal operation,No action required,Normal,No action required
2024-12-24 10:50:00,89.2137643602631,3074.0522564507287,18.53231174046179,0.7227113266750841,0.4049777537023755,0.1378030992387346,63.89783796233024,80.56877005738147,3,Idle,11,Normal operation,No action required,Normal,No action required
2024-12-24 10:55:00,71.28905762546371,1475.7196826536815,26.177408573927277,0.900113322936404,0.8015079488576191,0.4280968349779059,183.52402562037787,67.22660768290152,1,Idle,12,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 11:00:00,79.15253565209862,3438.895028074893,26.01060985834376,0.5319821084901459,0.1370604082873592,0.1151558774306343,68.64346896748836,56.51474457536432,2,Cruising,13,Normal operation,No action required,Normal,No action required
2024-12-24 11:05:00,76.33162391449773,1134.6793992991886,28.245559791057484,0.3509078469211274,0.0760778690444397,0.8036556120640962,108.76430906648535,28.164066104749388,3,Heavy Load,14,Normal operation,No action required,Normal,No action required
2024-12-24 11:10:00,101.2251425915114,3276.031091711389,24.076623038786117,0.187733878878749,0.8175809499104006,0.3946909791678069,169.94840888823546,66.62882700447858,3,Idle,15,Normal operation,No action required,Normal,No action required
2024-12-24 11:15:00,83.38006230068576,1233.9200115311485,29.01559823954508,0.944053243984863,0.3093626166293163,0.6681164922697925,186.79138727615864,62.89329392115387,3,Idle,16,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 11:20:00,89.74148057077609,2100.4378298583924,21.702655137100525,0.9481529822692244,0.7061271515813936,0.958980079259663,92.9177219834344,63.51916293382524,2,Cruising,17,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 11:25:00,87.87383627760765,2597.050956946939,15.731312156149205,0.0896871019575991,0.6356854056699931,0.4132347316839185,70.61565275215303,26.82574558158563,3,Cruising,18,Normal operation,No action required,Normal,No action required
2024-12-24 11:30:00,100.99259880777387,1429.0948922388534,27.952732285461373,0.2855696938362845,0.3840151137604823,0.7865864949540207,149.49191915547095,23.259810470455456,1,Cruising,19,Normal operation,No action required,Normal,No action required
2024-12-24 11:35:00,66.89877527159436,1632.6752540689756,19.766451268480317,0.4159807803711413,0.6201891347201913,0.7725671172924439,110.69043029123222,29.39165519852629,3,Idle,20,Normal operation,No action required,Normal,No action required
2024-12-24 11:40:00,78.92225689984672,2821.334839116152,28.19856744833544,0.4134527221570429,0.586152766999823,0.472407532777429,182.9133903636237,36.40978414019394,2,Heavy Load,21,Normal operation,No action required,Normal,No action required
2024-12-24 11:45:00,89.5000893318716,3347.8566962764403,28.200785299039826,0.193670899248801,0.4209211362137809,0.6063398447820915,184.3569468391319,61.39178688942977,0,Cruising,22,Normal operation,No action required,Normal,No action required
2024-12-24 11:50:00,117.06125598364498,3352.446409832732,25.885310977096918,0.4709026379744953,0.7738851423455712,0.0688648585314587,129.2151908945329,40.19034305171408,0,Cruising,23,Normal operation,No action required,Normal,No action required
2024-12-24 11:55:00,108.41480363332911,2096.018101543584,27.667071233741048,0.601611337839438,0.711120367842487,0.101024134607938,94.17404339176925,43.01864012844696,0,Cruising,24,Normal operation,No action required,Normal,No action required
2024-12-24 12:00:00,68.06181655247066,1311.471878339919,22.31490814713352,0.433347218033132,0.9262154641702705,0.2619698733881443,145.40358886303954,61.54204568008498,2,Heavy Load,25,Normal operation,No action required,Normal,No action required
2024-12-24 12:05:00,60.92809085420327,3077.199354411273,27.82902901552632,0.026801868211462,0.4378764323929336,0.6632051696623239,151.99403633497633,42.72026833148007,2,Cruising,26,Normal operation,No action required,Normal,No action required
2024-12-24 12:10:00,99.07248999153198,2188.2837002320985,15.26680476758996,0.9663797909400972,0.3123180923147998,0.0779342375513837,156.7376951488519,76.5520414036301,2,Heavy Load,27,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 12:15:00,99.16829775448356,3957.19334481493,17.105673535369714,0.4204129621721908,0.3946249972132594,0.8428684778194239,123.54759659580704,74.90898964295307,1,Idle,28,Normal operation,No action required,Normal,No action required
2024-12-24 12:20:00,69.57433593111111,2783.930700084594,19.89449589240392,0.7222627608107812,0.482418543714774,0.4939440601887445,174.65784836586693,48.07878321268103,0,Idle,29,Normal operation,No action required,Normal,No action required
2024-12-24 12:25:00,88.03337139609444,1923.3025254234024,28.360070239766,0.5922180011954656,0.1714851165361088,0.0186670306302081,80.4795017078131,93.6464667276693,1,Heavy Load,30,Normal operation,No action required,Normal,No action required
2024-12-24 12:30:00,86.23425137067454,2527.4583816954337,16.310693421173756,0.0268250761962777,0.4510866320650856,0.0418960374078665,129.5475849976665,29.97386344860428,1,Heavy Load,31,Normal operation,No action required,Normal,No action required
2024-12-24 12:35:00,102.4124737093688,3162.095933074634,26.914210968955413,0.1533106315513142,0.7870159782378652,0.9136532613538788,198.63643403025588,40.85834097509438,1,Idle,32,Normal operation,No action required,Normal,No action required
2024-12-24 12:40:00,62.50792450415793,2220.364827718422,29.936659890016863,0.8545038808286941,0.025459680174073,0.0354951837263677,79.27734499697837,34.11845309982957,0,Idle,33,Normal operation,No action required,Normal,No action required
2024-12-24 12:45:00,95.30283313313754,1404.6827223920673,22.10570209501611,0.1495030340679362,0.6148792582520611,0.4585673046066011,57.50847730897758,45.577590877615975,0,Idle,34,Normal operation,No action required,Normal,No action required
2024-12-24 12:50:00,61.52401106470713,3830.8074455266833,24.405725748508942,0.4119832017350606,0.3460742118280689,0.3821942139553991,170.2686132257695,67.8941106279451,2,Idle,35,Normal operation,No action required,Normal,No action required
2024-12-24 12:55:00,95.45114876133071,1187.9671643821598,29.865548449078418,0.1638636929013003,0.0007405368145717,0.8707810345433432,146.22856231854306,41.01708087899009,3,Cruising,36,Normal operation,No action required,Normal,No action required
2024-12-24 13:00:00,112.49554554589722,3771.764174480956,24.81286270613329,0.6568642331288151,0.2813064688860872,0.4974659856370605,82.13084541832434,35.91605164336835,2,Heavy Load,37,Normal operation,No action required,Normal,No action required
2024-12-24 13:05:00,105.6456553714372,3517.185304871721,22.988763523966497,0.9076076577465296,0.0317238484765404,0.5501481071873439,185.26308755334944,20.148909696266564,3,Idle,38,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 13:10:00,74.73995074389427,3067.9233653676256,17.600664252454962,0.1429663204228699,0.8086529894777952,0.7016106556687269,75.4988377680958,26.06221089276325,3,Heavy Load,39,Normal operation,No action required,Normal,No action required
2024-12-24 13:15:00,104.96111023299008,2208.488268966257,27.919058128786848,0.9690647410216704,0.2038772389876305,0.5279082672787936,142.56932767286793,84.07154242428749,3,Cruising,40,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 13:20:00,87.63802099717815,3382.5701676969184,27.073031240074563,0.0712590150553085,0.3251769447117717,0.4390625625460728,165.57678030824215,87.59956993067891,1,Cruising,41,Normal operation,No action required,Normal,No action required
2024-12-24 13:25:00,94.00023010995204,1518.6599801627012,23.56533199243955,0.8751403613815074,0.1109760221375059,0.5153429730341149,65.05156840095884,83.89211642091865,2,Idle,42,Normal operation,No action required,Normal,No action required
2024-12-24 13:30:00,102.2587058887962,3931.67280127588,25.44262081990635,0.606887976195874,0.895177874716871,0.3841529297662996,124.37067589423356,89.41103961263907,0,Idle,43,Normal operation,No action required,Normal,No action required
2024-12-24 13:35:00,111.09640247035146,3119.925116292858,21.060601688906257,0.936331200104506,0.824743673412856,0.8584999246503191,133.91514596559068,76.81619548987308,1,Cruising,44,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 13:40:00,65.03372636539098,3675.709109045044,28.56747911218424,0.6963256881048598,0.6130526327450263,0.2069668910638645,163.93169149544585,59.91928221167758,3,Idle,45,Normal operation,No action required,Normal,No action required
2024-12-24 13:45:00,63.28641505127206,1175.4125584894778,20.395412913551358,0.2184629470036179,0.3254217354981324,0.2884480648328323,92.85425629725208,71.84142949079722,1,Heavy Load,46,Normal operation,No action required,Normal,No action required
2024-12-24 13:50:00,111.21216011993388,1345.1922928687836,16.038076095212837,0.0001696451440255,0.4537973504600758,0.1954257839288264,165.44681831702,52.519314539188045,3,Heavy Load,47,Normal operation,No action required,Normal,No action required
2024-12-24 13:55:00,106.58015774150238,2448.2869654133647,21.35033899404545,0.7072294521923899,0.7852136321964149,0.3690010744267361,61.67956724762978,76.99326211894245,3,Idle,48,Normal operation,No action required,Normal,No action required
2024-12-24 14:00:00,113.4459659008206,1095.1339000866196,23.7308983180555,0.1400152906018955,0.4961062686762725,0.6277509944087335,57.52452758395061,83.67492017328478,1,Heavy Load,49,Normal operation,No action required,Normal,No action required
2024-12-24 14:05:00,107.53218038139372,2331.695458102763,24.076309820063727,0.3559265177731004,0.3938386981582732,0.842749748539487,107.9285866793228,91.90409905756935,0,Heavy Load,50,Normal operation,No action required,Normal,No action required
2024-12-24 14:10:00,70.16244317880806,3694.803327904466,21.78513737815368,0.0857127053549685,0.885102602020616,0.995647741365113,177.02712859400577,31.162207165871312,3,Cruising,51,Normal operation,No action required,Normal,No action required
2024-12-24 14:15:00,108.04778169340835,3463.711400647322,23.308244576001137,0.3914655309694372,0.2302875925240073,0.250839157434659,191.35096488913547,97.82330949072664,0,Idle,52,Normal operation,No action required,Normal,No action required
2024-12-24 14:20:00,95.24950466964832,2807.6399706580223,28.20145509852949,0.7762919348309724,0.1504462039704051,0.0142989352302298,58.86167155789413,45.30832523132653,0,Heavy Load,53,Normal operation,No action required,Normal,No action required
2024-12-24 14:25:00,63.15581457658969,1724.1468398687357,20.434117221241245,0.6961625429069581,0.6002280924095612,0.5473841354937705,139.6920902789036,24.410976543578656,0,Heavy Load,54,Normal operation,No action required,Normal,No action required
2024-12-24 14:30:00,94.8003810761542,3233.5134381992543,28.006851812438757,0.9440755103662044,0.2954964581668987,0.7430754477390193,157.28100905531682,95.07668696188328,1,Heavy Load,55,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 14:35:00,109.96958964495737,2222.9043970995704,29.705855030847168,0.93153216102284,0.6844855151644964,0.6800841921670981,82.98020850453071,54.78032009223568,1,Cruising,56,Bearing misalignment,Bearing inspection performed,Warning,Bearing replaced
2024-12-24 14:40:00,118.79449927243871,1968.3325300694569,29.102395798652992,0.0093359783192522,0.1385026541383058,0.7240220647568123,152.650262001207,73.72104015579154,2,Heavy Load,57,Normal operation,No action required,Normal,No action required
2024-12-24 14:45:00,104.5158489950152,3567.6730032000346,27.185893456633337,0.8126367773782774,0.155779506089105,0.3862057042217311,85.88989462560258,33.56706104539542,1,Heavy Load,58,Normal operation,No action required,Normal,No action required
2024-12-24 14:50:00,99.50147939046585,1757.9394960492975,29.62735806449799,0.6679743489960696,0.5406534755566123,0.1883422856049059,65.40793453671205,92.70617383295168,1,Heavy Load,59,Normal operation,No action required,Normal,No action required
